,episode_reward,episode,duration,step,critic_shift_loss,critic_aug_loss,critic_loss,actor_loss,actor_mean_entropy,alpha_loss,alpha_value
0,0.0,1.0,1.8266544342041016,250,,,,,,,
1,0.0,2.0,0.2453477382659912,500,,,,,,,
2,4.0,3.0,0.24422359466552734,750,,,,,,,
3,0.0,4.0,0.24505186080932617,1000,,,,,,,
4,0.0,5.0,126.18644332885742,1250,0.013080527203621621,0.013152818862661318,0.02623334602694966,-0.9777179360847499,2.537886481268126,0.31509991129363135,0.09464667782770214
5,5.0,6.0,23.27489686012268,1500,0.02997974806383718,0.02997974806383718,0.05995949612767436,-1.7009957084655762,2.5592080211639403,0.2975976846218109,0.08903456908356565
6,11.0,7.0,32.6291708946228,1750,0.052624778056808284,0.052624778056808284,0.10524955611361657,-1.8478738679885864,2.5493548793792726,0.29409361457824706,0.08798012511483393
7,6.0,8.0,40.07848620414734,2000,0.06272449321183377,0.06272449321183377,0.12544898642366753,-1.9778955659866333,2.5838706645965575,0.29112630963325503,0.08694211997829146
8,8.0,9.0,40.33794975280762,2250,0.04464048938505585,0.04464048938505585,0.0892809787701117,-2.1007586755752565,2.552123876571655,0.2869977400302887,0.08592119330104568
9,0.0,10.0,40.124666690826416,2500,0.047649160210741684,0.047649160210741684,0.09529832042148337,-2.2299289169311525,2.5848317699432375,0.28476415705680846,0.08491278006301524
10,0.0,11.0,40.1131706237793,2750,0.0493722461257712,0.0493722461257712,0.0987444922515424,-2.353772365570068,2.5647375774383545,0.2812887661457062,0.08391872088139513
11,3.0,12.0,39.84107232093811,3000,0.04198318258055951,0.04198318258055951,0.08396636516111902,-2.46800652885437,2.576002920150757,0.27828859734535216,0.08293884092502596
12,0.0,13.0,39.56787633895874,3250,0.037698684640752614,0.037698684640752614,0.07539736928150523,-2.5875876541137695,2.5885631694793703,0.275210373878479,0.08197234500861018
13,7.0,14.0,39.63506197929382,3500,0.041214151145715736,0.041214151145715736,0.08242830229143147,-2.7040712337493895,2.59200156211853,0.2718321135044098,0.08102103571553115
14,3.0,15.0,39.5424370765686,3750,0.04588465921528405,0.04588465921528405,0.0917693184305681,-2.8178621463775633,2.5840792751312254,0.2685064239501953,0.08008251427725585
15,6.0,16.0,39.64978313446045,4000,0.05043134125170764,0.05043134125170764,0.10086268250341528,-2.9252935104370117,2.5929327754974367,0.26544305181503297,0.07915771123042274
16,15.0,17.0,39.63367962837219,4250,0.053749450172064825,0.053749450172064825,0.10749890034412965,-3.029133180618286,2.5610829524993894,0.26169171667099,0.07824581190304336
17,0.0,18.0,39.6251335144043,4500,0.05854693566588685,0.05854693566588685,0.1170938713317737,-3.136355178833008,2.55855609703064,0.2586334981918335,0.07734786121812183
18,5.0,19.0,39.80697751045227,4750,0.04872847110661678,0.04872847110661678,0.09745694221323356,-3.232933557510376,2.5780849437713624,0.25625160527229307,0.07646122315078421
19,0.0,20.0,39.7157940864563,5000,0.043133660820429215,0.043133660820429215,0.08626732164085843,-3.3261213932037355,2.5840896282196044,0.25291243886947634,0.07558553274723061
20,0.0,21.0,39.65269494056702,5250,0.04557081554498291,0.04557081554498291,0.09114163108996581,-3.4221103477478025,2.5636329250335694,0.25056585848331453,0.07472087937530253
21,0.0,22.0,39.788939237594604,5500,0.04318709109449992,0.04318709109449992,0.08637418218899984,-3.51201815032959,2.580976301193237,0.24746382021903993,0.07386641820894305
22,1.0,23.0,39.523494482040405,5750,0.03869108162395423,0.03869108162395423,0.07738216324790846,-3.595940227508545,2.5688902339935304,0.24502194094657898,0.07302290590483967
23,2.0,24.0,39.50201082229614,6000,0.044001969994977116,0.044001969994977116,0.08800393998995423,-3.6876072788238528,2.5616241817474363,0.24204666829109192,0.07218943354486468
24,4.0,25.0,39.9171040058136,6250,0.04548493343091104,0.04548493343091104,0.09096986686182208,-3.7704046115875243,2.5726731090545654,0.23922216844558716,0.07136742848068152
25,3.0,26.0,40.09044861793518,6500,0.043548232561908665,0.043548232561908665,0.08709646512381733,-3.856480583190918,2.5689056148529055,0.23686900532245636,0.07055511335658496
26,0.0,27.0,40.085819482803345,6750,0.042724716349854135,0.042724716349854135,0.08544943269970827,-3.937279067993164,2.566572507858276,0.23373687744140625,0.06975277412205871
27,0.0,28.0,39.8185772895813,7000,0.03581703769555315,0.03581703769555315,0.0716340753911063,-4.010576417922974,2.564983419418335,0.23132288086414338,0.06896071621942328
28,1.0,29.0,39.69978594779968,7250,0.037601559877279214,0.037601559877279214,0.07520311975455843,-4.087441524505615,2.5895090465545656,0.22878703153133392,0.068177399239327
29,1.0,30.0,39.577505350112915,7500,0.03453851054771803,0.03453851054771803,0.06907702109543606,-4.159417942047119,2.5721555690765383,0.22602768194675446,0.0674040787002111
30,2.0,31.0,39.51842713356018,7750,0.028368083121429664,0.028368083121429664,0.05673616624285933,-4.227263813018799,2.5718892726898193,0.22361203849315645,0.06664009020337282
31,4.0,32.0,39.69017028808594,8000,0.03983695751358755,0.03983695751358755,0.0796739150271751,-4.295541530609131,2.5860507564544677,0.22105997085571288,0.06588525562041166
32,0.0,33.0,39.64171385765076,8250,0.03155338418280007,0.03155338418280007,0.06310676836560014,-4.3727666015625,2.5664999980926515,0.21864944970607758,0.06513918983040488
33,7.0,34.0,39.61669731140137,8500,0.03448176812354359,0.03448176812354359,0.06896353624708718,-4.436732986450195,2.58224342918396,0.21628057539463044,0.06440151080348451
34,0.0,35.0,39.66530680656433,8750,0.028518238826945888,0.028518238826945888,0.057036477653891776,-4.49787890625,2.5776176433563234,0.2137325757741928,0.06367283750799549
