,key,Q1 std,Q2 std,Q1 target std,Q2 target std
0,grayscale,1.182936668395996,1.212562084197998,1.2531617879867554,1.2490367889404297
1,flip,0.8431552648544312,0.8533004522323608,0.8052539825439453,0.7982429265975952
2,rotate,1.3162552118301392,1.2826123237609863,1.28118097782135,1.2721096277236938
3,rand_conv,1.399890661239624,1.4302910566329956,1.3696106672286987,1.389520287513733
4,shift,1.519053339958191,1.542244553565979,1.4761292934417725,1.4897656440734863
5,color_jitter,0.996907114982605,1.0109518766403198,0.9187844395637512,0.931594967842102
6,identity,0.0,0.0,0.0,0.0
7,overlay,1.387248158454895,1.3912795782089233,1.3601921796798706,1.3647572994232178
8,splice,1.616888403892517,1.6130352020263672,1.585755705833435,1.5871402025222778
9,splice_color,1.710355520248413,1.6994092464447021,1.672735571861267,1.6632038354873657
