episode_reward,episode,duration,step,critic_loss,critic_target_Q_variance_m=1,critic_Q1_variance_k=1,critic_Q2_variance_k=1,actor_loss,actor_mean_entropy,alpha_loss,alpha_value
0.0,1.0,2.580713987350464,250,,,,,,,,
51.70266255879508,2.0,0.4876482486724853,500,,,,,,,,
64.99570868557767,3.0,0.4897136688232422,750,,,,,,,,
57.68951042190992,4.0,0.4897074699401855,1000,,,,,,,,
51.742837732540245,5.0,102.05924916267396,1250,0.5140804613472892,0.0,0.0,0.0,-4.028728642139677,7.771566425088886,0.8787957441021963,0.0947384999120879
73.52186927728417,6.0,18.19626259803772,1500,1.4028892294168471,0.0,0.0,0.0,-7.054312278747559,7.617227928161621,0.7352287082672119,0.0895343027611986
69.87042279159797,7.0,18.13668656349182,1750,1.6579243102073669,0.0,0.0,0.0,-7.516818725585938,7.597372970581055,0.7160134329795838,0.0885693018405738
70.84061172383367,8.0,18.15211772918701,2000,2.0658996086120607,0.0,0.0,0.0,-7.947356388092041,7.501830539703369,0.701209728717804,0.0876229146833659
79.68222198490453,9.0,18.807765007019043,2250,2.346845208406448,0.0,0.0,0.0,-8.376623023986816,7.413652725219727,0.6810210342407227,0.0866888961692186
53.2889027105752,10.0,18.16800355911255,2500,2.337172290802002,0.0,0.0,0.0,-8.993310920715333,7.454184299468994,0.642645290851593,0.0857775051386187
45.81726098659029,11.0,18.11896800994873,2750,2.597521734714508,0.0,0.0,0.0,-9.58714437866211,7.438325252532959,0.6093687527179718,0.0849055666968899
82.96886347150206,12.0,18.13732671737671,3000,3.0738238830566407,0.0,0.0,0.0,-10.345832649230957,7.371543453216553,0.5831545855998993,0.0840642191106098
94.17695249379702,13.0,18.17551279067993,3250,2.744395356178284,0.0,0.0,0.0,-11.002877464294434,7.40158032989502,0.5909836769104004,0.0832257196686647
157.2066110966791,14.0,18.188416957855225,3500,2.9409076194763184,0.0,0.0,0.0,-11.706378128051758,7.227788200378418,0.593915177822113,0.0823602554604891
74.78037308594762,15.0,18.12953329086304,3750,3.134221783161163,0.0,0.0,0.0,-12.348709411621094,7.20294429397583,0.5803015270233154,0.0815036115716539
118.53656073250755,16.0,18.155715227127075,4000,3.283892674446106,0.0,0.0,0.0,-13.214043090820311,7.116814094543457,0.5672372558116913,0.0806576216108435
112.37388660854717,17.0,18.53058433532715,4250,3.1321050276756286,0.0,0.0,0.0,-14.199817665100095,6.991295314788818,0.5604509809017182,0.0798086519933283
114.4567798522371,18.0,18.194397449493408,4500,3.211310519218445,0.0,0.0,0.0,-14.865995307922365,6.799417152404785,0.4944760813713074,0.0790001423834406
121.732380553167,19.0,18.32058024406433,4750,3.323559132575989,0.0,0.0,0.0,-15.69174755859375,6.804936546325684,0.4936509141921997,0.0782496721000307
123.82309545850885,20.0,18.27407574653625,5000,3.509962450504303,0.0,0.0,0.0,-16.821659034729002,6.700890522003174,0.4574209141731262,0.0775049996869539
147.82328919015728,21.0,18.245718002319336,5250,3.894351316928864,0.0,0.0,0.0,-17.77600538635254,6.730169097900391,0.4592898421287537,0.0767851499768261
138.34134636822444,22.0,18.143826007843018,5500,4.092371840476989,0.0,0.0,0.0,-18.42328965759277,6.723909809112548,0.4475824029445648,0.0760446608785962
69.249346683717,23.0,18.170356512069706,5750,3.763454587936401,0.0,0.0,0.0,-19.23269302368164,6.577950878143311,0.4179528934955597,0.0753335641690178
118.66000779660274,24.0,18.19569993019104,6000,3.73331014585495,0.0,0.0,0.0,-20.177552703857423,6.568037822723388,0.4204108231067657,0.0746236121089906
170.32301860498745,25.0,18.48781895637512,6250,4.473978278160096,0.0,0.0,0.0,-21.17520658874512,6.528577854156494,0.3918380997180938,0.0739439972480414
170.08289616653636,26.0,18.212528944015503,6500,3.90405157661438,0.0,0.0,0.0,-22.03974592590332,6.5469887199401855,0.4033613173961639,0.0732482528208235
108.28021395567168,27.0,18.2278995513916,6750,4.141654978752136,0.0,0.0,0.0,-22.6423203125,6.567030155181885,0.3994753627777099,0.0725274851342663
180.35072028202688,28.0,18.218305349349976,7000,3.951190628528595,0.0,0.0,0.0,-23.46697807312012,6.610759326934814,0.410353333234787,0.0718116516558001
178.96397654400533,29.0,18.205683946609497,7250,3.8278714113235472,0.0,0.0,0.0,-24.21705993652344,6.578480659484863,0.4158479278087616,0.0710497746636308
257.7458959675564,30.0,18.30034375190735,7500,3.776363791942596,0.0,0.0,0.0,-24.93231256103516,6.39139453125,0.4036052422523498,0.0703128946309717
221.777536389242,31.0,18.14083170890808,7750,3.876316367149353,0.0,0.0,0.0,-25.725483383178712,6.406163623809815,0.3907332789897919,0.0695789272389118
251.08329393494444,32.0,18.19373106956482,8000,3.633833898067474,0.0,0.0,0.0,-26.487117736816405,6.341255832672119,0.3790077233314514,0.0688607115655012
187.3044871918024,33.0,18.483168601989743,8250,3.7485446982383728,0.0,0.0,0.0,-27.325018646240235,6.218495094299317,0.3611395835876465,0.0681609286415021
303.37258454984146,34.0,18.196805238723755,8500,3.8007840900421135,0.0,0.0,0.0,-28.141697860717773,6.128556652069092,0.3446415948867798,0.0674952886553301
290.8390574085636,35.0,18.150755167007446,8750,3.771702233791352,0.0,0.0,0.0,-28.975362045288087,6.071224227905273,0.3376057832241058,0.0668378978751204
241.64741831174663,36.0,18.198570728302,9000,3.985637956619263,0.0,0.0,0.0,-29.861674102783205,6.01992244720459,0.3216286565065384,0.0661954682487814
217.11961370779647,37.0,18.1753957271576,9250,4.521738079071045,0.0,0.0,0.0,-30.70374201965332,6.011294727325439,0.3110700898170471,0.0655662498029222
