,episode_reward,episode,duration,step,critic_loss,critic_target_Q_variance_m=2,critic_Q1_variance_k=2,critic_Q2_variance_k=2,actor_loss,actor_mean_entropy,alpha_loss,alpha_value
0,0.0,1.0,7.235405206680298,500,,,,,,,,
1,4.0,2.0,1.2972073554992676,1000,,,,,,,,
2,0.0,3.0,434.79206562042236,1500,0.045369191116240534,0.2655725388262614,0.00014995569861627123,0.00014803664106333988,-0.959403649545174,2.548195002029379,0.3128362440223022,0.09406045434756079
3,12.0,4.0,138.99798345565796,2000,0.0650676023773849,0.6206333760023117,0.0004938107829511864,0.0004994736438093242,-1.6809773378372193,2.6002738609313965,0.2924244608879089,0.08743135843043809
4,0.0,5.0,139.8675835132599,2500,0.05493572226120159,0.760811546087265,0.0004565210831424338,0.0004572288107010536,-1.851960210800171,2.582108048439026,0.28421583223342894,0.08539224975540974
5,3.0,6.0,138.75497269630432,3000,0.061076018740888686,0.9121440254449844,0.00047617943411751187,0.0004722812063046149,-2.013965751171112,2.5892863988876345,0.2783085750341415,0.08341295149269519
6,4.0,7.0,138.48277354240417,3500,0.07025363697763533,1.0985625106096268,0.000834112611511955,0.0008317233660054626,-2.194736053466797,2.5963702993392945,0.270834854722023,0.0814908182029721
7,6.0,8.0,138.6392946243286,4000,0.06323304532747716,1.2411796355247497,0.0008722184786747676,0.000879007918498246,-2.324203884124756,2.5986272525787353,0.264554780960083,0.07962391689101596
8,8.0,9.0,138.28814816474915,4500,0.08976765254233032,1.4099176106452942,0.001231646106520202,0.0012472709802677855,-2.4650112314224244,2.608501986503601,0.25662590271234514,0.07781215072622447
9,1.0,10.0,138.49190068244934,5000,0.11560907246172428,1.6627381353378297,0.0013248455955763348,0.0013271044318098576,-2.662169620513916,2.582488356590271,0.24925459456443785,0.07605985589551471
10,12.0,11.0,138.9664602279663,5500,0.1391781281121075,1.9343922607898711,0.0013947193922649603,0.0014003513943171128,-2.853723182678223,2.5919816932678224,0.2435859370827675,0.07434179305350677
11,35.0,12.0,139.0205900669098,6000,0.18302022288367154,2.18632527923584,0.0019183232090435923,0.0019118428942747415,-3.0218237171173095,2.6320604333877564,0.2334590877890587,0.07268714850932603
12,13.0,13.0,137.88388657569885,6500,0.19990739185363054,2.5050479154586793,0.0025217334332410246,0.0024922677625436335,-3.2235123023986816,2.625391827583313,0.22373974496126176,0.07109233396061021
13,37.0,14.0,138.13636374473572,7000,0.23562182112038135,2.8613014221191406,0.003061450026696548,0.003055842739995569,-3.431831003189087,2.584544362068176,0.20948360955715178,0.0695665568843579
14,62.0,15.0,139.25900030136108,7500,0.29961122094094755,3.273531852245331,0.0041884107147343455,0.0041441578224767,-3.6561054182052612,2.531515851020813,0.19524753677845003,0.06813257375153595
15,70.0,16.0,138.11143231391907,8000,0.394843877017498,3.7544126677513123,0.005259018928045407,0.005286531652556732,-3.883349736213684,2.519752233505249,0.18292588621377945,0.06675252898363884
16,110.0,17.0,138.25666403770447,8500,0.5467520662099123,4.483380412578582,0.007550914253108203,0.007468694446142763,-4.206239078521729,2.430014699935913,0.15360309287905693,0.06548891898699752
17,125.0,18.0,138.294429063797,9000,0.6747265403866768,5.399826907157898,0.010010711689479649,0.00999629294173792,-4.559758075714111,2.371041639328003,0.12670670595765113,0.06440327652810714
18,245.0,19.0,138.51906538009644,9500,0.8570890968441963,7.040285784721375,0.014027863805182278,0.01403981789201498,-5.197099088668823,2.2305192203521726,0.07587925055623054,0.06355236254996839
19,383.0,20.0,137.92105102539062,10000,1.0687276208400727,10.462562776565552,0.019154386781156062,0.019322986122220755,-6.342353832244873,2.1175812673568726,0.045762318663299086,0.06302954805648663
20,367.0,21.0,144.50306749343872,10500,1.1099563010931015,15.448884496688843,0.02024551260471344,0.020448105132207274,-7.715148944854736,2.0057008876800535,0.03508601648081094,0.06263840476065065
21,354.0,22.0,138.30748987197876,11000,1.1599916142225266,20.8548200302124,0.01972134172730148,0.019967063205316663,-8.963821449279784,1.909611680984497,0.039509798186831174,0.062217038563779435
22,400.0,23.0,138.14544367790222,11500,1.2082052367925644,27.10401626586914,0.020897884679958224,0.021096853267401457,-10.169655750274659,1.8232953572273254,0.0302082803864032,0.06175688925443018
23,439.0,24.0,138.63806748390198,12000,1.3401034976243973,34.78306453323364,0.023719104684889317,0.023902847500517965,-11.55934253692627,1.754841206073761,0.00959674814902246,0.06148768996130351
24,462.0,25.0,138.22226095199585,12500,1.448813094496727,44.506696990966795,0.02686060209199786,0.02678415647521615,-13.111886280059814,1.6850671286582948,-0.0028222856195643546,0.061440866437489555
25,490.0,26.0,137.76798725128174,13000,1.3744970395565033,56.9727631149292,0.025696396982297302,0.025761997343972325,-14.937042278289795,1.6492187824249267,-0.009714851092081518,0.06157508059883568
26,477.0,27.0,138.63554787635803,13500,1.2921164492368697,71.03533540344239,0.024148986987769603,0.02411491634696722,-16.74055513381958,1.5901513795852662,-0.008235573600511997,0.06175311832925396
27,479.0,28.0,138.60782289505005,14000,1.3124928625822068,86.50822479248046,0.0242281474173069,0.024140729755163192,-18.492374504089355,1.576892165660858,-0.008860658558551221,0.06195093530167499
28,508.0,29.0,138.0078842639923,14500,1.2660700311660766,103.21857948303223,0.02371720494143665,0.02369942379370332,-20.199339820861816,1.565065330505371,-0.00918500784318894,0.062168438574735134
29,495.0,30.0,138.82942914962769,15000,1.3258212081193923,120.6363303527832,0.024243434077128766,0.024366544272750618,-21.839192344665527,1.5699476852416991,-0.010822674514725805,0.06246867277670391
30,495.0,31.0,138.1273283958435,15500,1.2744159165620803,139.366236328125,0.024505920017138125,0.024558837780728936,-23.516929313659666,1.5500984849929809,-0.01269663687190041,0.06286937555695
31,475.0,32.0,138.15333557128906,16000,1.341322042107582,159.9017907409668,0.024878555281087757,0.024995267890393733,-25.181948638916015,1.5427590594291687,-0.014166131625883281,0.06335428100820088
32,517.0,33.0,136.85582375526428,16500,1.274040096640587,180.52241107177736,0.023842893281951546,0.02389248883165419,-26.767404235839845,1.518254340648651,-0.011012978163547814,0.06385915101156021
33,533.0,34.0,138.16250562667847,17000,1.270937734603882,203.10921902465822,0.02467168753221631,0.02466048294492066,-28.406236122131347,1.500572934627533,-0.012998296085279436,0.06439427665465826
34,517.0,35.0,138.3747842311859,17500,1.2355201654434205,225.97179083251953,0.023726205537095667,0.023760036578401922,-29.977462684631348,1.5172569603919983,-0.015615475877188147,0.06511043469472722
35,546.0,36.0,138.14602971076965,18000,1.1639109674692154,250.1960887145996,0.02300003713183105,0.022950669851154088,-31.52956019592285,1.486663432598114,-0.013373957782983779,0.06590389073278027
36,516.0,37.0,138.55039429664612,18500,1.1790677970647812,274.5237680358887,0.0230471468064934,0.023054043559357525,-33.098266876220706,1.4716796712875366,-0.012670697247143835,0.0666445208036566
37,536.0,38.0,137.75366187095642,19000,1.150010719537735,299.82758782958985,0.022561280701309444,0.0224742283038795,-34.561061538696286,1.4852363901138306,-0.013515728028025479,0.06751095558782909
38,525.0,39.0,138.23687171936035,19500,1.1505546803474427,326.10303186035156,0.022085537841543556,0.022156848687678577,-36.10209944152832,1.465197253227234,-0.013679368001408876,0.06846371974864024
39,530.0,40.0,138.0264368057251,20000,1.162240075826645,353.33578240966796,0.021530602667480706,0.021443579636514186,-37.56086027526855,1.4402820963859557,-0.012077257005497813,0.06940904532907671
40,533.0,41.0,144.37500596046448,20500,1.098724915623665,380.04019787597656,0.020433473248034715,0.020501225691288708,-38.96768760681152,1.51076260471344,-0.007018435866106301,0.07011398250467743
41,500.0,42.0,138.11875414848328,21000,1.1130472481250764,406.62100799560545,0.02121694911643863,0.021158990683034062,-40.26723017883301,1.4736426949501038,-0.010329894501715899,0.07079420826593831
42,549.0,43.0,138.35732197761536,21500,1.1632139834165574,433.4468713378906,0.02086228735372424,0.020880496952682733,-41.54325131225586,1.4673196291923523,-0.007982135135680437,0.07164692301796058
43,546.0,44.0,138.01059937477112,22000,1.0346382938623429,462.83947442626953,0.019361440343782305,0.019555399646982552,-42.98544578552246,1.459420464992523,-0.0057037829817272725,0.07225028816790754
44,546.0,45.0,138.39457988739014,22500,1.0137057551145554,490.40728363037107,0.018631750734522938,0.018838483098894358,-44.251820220947266,1.450865967273712,-0.004112539263442159,0.07270793096334385
45,547.0,46.0,138.7760636806488,23000,1.0420598863363266,518.6352526245117,0.019102374821901323,0.019307757312431933,-45.48407438659668,1.4430352387428285,-0.005533113912679255,0.07324760785027765
46,549.0,47.0,138.12451076507568,23500,1.0590698775053025,546.8755767822265,0.01955544830672443,0.019848162697628142,-46.7429638671875,1.426426965713501,-0.002891436834586784,0.07369172232662018
47,558.0,48.0,138.39667296409607,24000,1.1063973468542099,575.6930051269532,0.01945276309363544,0.019636107420548797,-47.9422417755127,1.4548050565719604,-0.0021663201353512703,0.07386459437404051
48,556.0,49.0,138.08188247680664,24500,1.0976411925554275,604.5170205078125,0.01924559844098985,0.01925345507264137,-49.12740176391601,1.4113873658180236,-0.00480264694429934,0.0743392021597278
49,548.0,50.0,137.9806673526764,25000,1.0605137867927552,634.284277709961,0.01941412245668471,0.0194326893389225,-50.31470832824707,1.4245406484603882,-0.0016351555432192982,0.0747322610066672
50,541.0,51.0,138.79737949371338,25500,1.0539351915121078,662.2731378173828,0.018427007518708707,0.018602247148752214,-51.39885618591308,1.4417703437805176,-0.004269019613973796,0.07503126685229411
51,565.0,52.0,137.89807438850403,26000,1.0518690195083618,691.2148076171875,0.018702752316370606,0.018661282312124966,-52.55177217102051,1.4450194201469422,0.0011489220533985644,0.07525882354153114
52,539.0,53.0,137.12829160690308,26500,1.0175039229393006,719.2906970214843,0.018642946500331162,0.018711266500875352,-53.634208786010745,1.3793729948997497,-7.662667287513614e-05,0.0751481099918306
53,549.0,54.0,139.0347819328308,27000,1.0539602048397063,748.7771068115235,0.018961456760764123,0.01913068930618465,-54.683389816284176,1.3709842567443848,-0.0009585717064328491,0.07526699093326597
54,554.0,55.0,138.65779948234558,27500,1.0592749975919724,779.0848488769532,0.018414992386475204,0.018487179946154356,-55.78380308532715,1.3860473523139953,-0.001342178045772016,0.07544613039966887
55,564.0,56.0,138.17571139335632,28000,1.0396044704914094,808.5232874755859,0.01825691849924624,0.01837982122041285,-56.839449905395504,1.3901307339668274,-0.00032549035781994463,0.07549661996460148
56,572.0,57.0,138.4300560951233,28500,1.0817102273702621,838.7742884521484,0.019003793051466347,0.01895834443718195,-57.920893630981446,1.3933810787200929,-0.001016343603376299,0.07555137292085744
57,564.0,58.0,138.57156252861023,29000,1.1330246353149414,867.99458203125,0.018381101759150625,0.01858190960995853,-58.90078425598144,1.3781655316352843,0.000309085754211992,0.07559818380437854
58,535.0,59.0,138.39352917671204,29500,1.1008701452016831,896.3959816894532,0.018961769757792353,0.01903123881481588,-59.846226119995116,1.3603034539222718,-0.0013196781477890908,0.0756528107299011
59,566.0,60.0,137.50083923339844,30000,1.0590350192785263,928.0756173095704,0.017847845422104002,0.01776424252986908,-60.89760331726074,1.3706315355300904,0.000532224040478468,0.07575857348630112
60,575.0,61.0,144.34763884544373,30500,1.006777538895607,955.816359375,0.01782766504585743,0.017746176758781075,-61.82134803771973,1.363844084739685,0.003616627390496433,0.07547277497354257
61,567.0,62.0,138.22629928588867,31000,1.1043285759687425,983.2902243652344,0.01832381883636117,0.01849913764744997,-62.721667663574216,1.3506115698814392,0.0030291567463427782,0.07494814943527991
62,544.0,63.0,138.62693405151367,31500,1.0874894704818725,1012.0769923095703,0.018140021541155876,0.018332812855020166,-63.58154005432129,1.3623693933486938,0.0023949284735135736,0.07470922446795594
63,561.0,64.0,138.10639691352844,32000,1.0736756098270417,1039.2350083007811,0.018109173050150276,0.018242805246263743,-64.44972021484375,1.334243528366089,0.002161061156075448,0.0743253639166383
64,589.0,65.0,138.90070724487305,32500,1.1383752150535584,1068.9094591064454,0.019390603709965943,0.01941453517600894,-65.37449981689453,1.344348355770111,-0.0008549784659408032,0.07432981263480931
65,572.0,66.0,138.0001618862152,33000,1.134124516248703,1095.5465627441406,0.019031345983967184,0.0191031509693712,-66.1380791015625,1.3401136198043824,0.0016968229038175195,0.07421307245957473
66,575.0,67.0,138.53691148757935,33500,1.175872161269188,1124.44308203125,0.019529929460957645,0.019682186843827366,-67.0653623046875,1.3233166694641114,-0.000583991982974112,0.0742356616924664
67,578.0,68.0,138.2888524532318,34000,1.1607343487143515,1153.11458203125,0.01943996739014983,0.01951976411603391,-67.88941909790039,1.3299143767356874,-0.001793204784858972,0.07436446808636071
68,583.0,69.0,138.00950145721436,34500,1.2470380046367646,1179.868232421875,0.02003041191957891,0.0201838439386338,-68.67101031494141,1.3416905841827393,-0.0037783802836202085,0.07474830739484742
69,599.0,70.0,138.12455892562866,35000,1.1840993389487267,1208.588928466797,0.0195264796204865,0.019656668482348323,-69.53402270507813,1.3579662199020386,-0.0007552991639822722,0.07495987346704443
70,580.0,71.0,138.13654565811157,35500,1.1845259132385253,1236.7077797851562,0.0200066668279469,0.020225810997188093,-70.31948977661133,1.3018953452110291,-0.0022674845354631545,0.07523814322594821
71,626.0,72.0,138.55215716362,36000,1.2361955169439316,1265.287994873047,0.01990514175966382,0.020124186949804425,-71.08408810424805,1.3391915469169617,0.0018578128297813236,0.07523117632921501
72,590.0,73.0,137.29444289207458,36500,1.265921961069107,1293.1376665039063,0.020943497026339172,0.021096406249329448,-71.93164788818359,1.282397416114807,-0.0015659208954311907,0.07512366426944288
