,episode_reward,episode,duration,step,critic_loss,actor_loss,actor_mean_entropy,alpha_loss,alpha_value
0,0.0,1.0,5.048606872558594,500,,,,,
1,4.0,2.0,0.7894423007965088,1000,,,,,
2,0.0,3.0,164.87461280822754,1500,0.01973616029502836,-0.9304677470355296,2.5442477707341733,0.31267201994136395,0.09407802988518268
3,9.0,4.0,48.971254110336304,2000,0.024511120965704323,-1.3179453282356262,2.6043411378860473,0.28833756053447723,0.0874684955815857
4,0.0,5.0,49.36368536949158,2500,0.028862238619010896,-1.3246461238861085,2.5960925645828246,0.28115282332897185,0.08544821992949925
5,6.0,6.0,49.815478563308716,3000,0.03978820247668773,-1.3254335470199585,2.6064924001693726,0.27468136727809905,0.0834775321857553
6,16.0,7.0,49.202680826187134,3500,0.04604825733229518,-1.4385633287429809,2.628405248641968,0.2653532351255417,0.08157053059614011
7,18.0,8.0,49.23548483848572,4000,0.07695802170597017,-1.5776057810783386,2.622508334159851,0.25514111715555193,0.07973485122039345
8,26.0,9.0,49.29833626747131,4500,0.08864007345587015,-1.671374469280243,2.5976266632080076,0.24898585557937622,0.07795265826330049
9,11.0,10.0,49.323935985565186,5000,0.10493399142846466,-1.7779480886459351,2.627736798286438,0.2424962509870529,0.07620955183080613
10,15.0,11.0,49.14303946495056,5500,0.08848970523662865,-1.9205347533226014,2.5976497573852537,0.23556692469120025,0.07451346080015282
11,24.0,12.0,49.229243993759155,6000,0.1409031718187034,-2.0571559085845945,2.5880102071762083,0.22739919221401214,0.0728647258481588
12,27.0,13.0,49.59116888046265,6500,0.13613100608065726,-2.19659370136261,2.5727396593093874,0.21620984953641892,0.07127711377136033
13,12.0,14.0,49.074063777923584,7000,0.1614237364344299,-2.3611534328460695,2.5469141006469727,0.20385249024629593,0.06976146491038199
14,22.0,15.0,49.97609257698059,7500,0.1809571328088641,-2.5212703790664674,2.558840763092041,0.19261369621753693,0.0683095300390997
15,17.0,16.0,48.958598136901855,8000,0.1890027331635356,-2.658008831977844,2.596302927970886,0.189883642911911,0.06689126889271622
16,23.0,17.0,36.62813663482666,8500,0.160367129817605,-2.8339479818344118,2.5698179054260253,0.18333142894506455,0.06547582394308114
17,22.0,18.0,32.875526428222656,9000,0.2368971902281046,-3.0125323295593263,2.532481756210327,0.17476774418354035,0.06410391466031758
18,123.0,19.0,31.729660987854004,9500,0.2557621035426855,-3.2177659282684328,2.505477096557617,0.1694529219865799,0.06276601884001769
19,85.0,20.0,29.53749132156372,10000,0.2792045109719038,-3.400604266166687,2.483629111289978,0.15679106134176254,0.061473491709670994
